X,order,family,common_name,Binomial,rts,exp.testes,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
71,Rodentia,Muridae,Mindanao Bullimus,Bullimus_bagobus,1.618631281,2.520648184,4.08,0.611,Breed 2000,380,2.58,Breed 2000,NA,NA,NA,NA,NA,,NA,
72,Rodentia,Muridae,Andrew's Bunomys,Bunomys_andrewsi,0.33691021,1.209224263,0.4074,-0.39,Breed 2000,137,2.137,Breed 2000,NA,NA,NA,NA,NA,,NA,NA
73,Rodentia,Muridae,Common Bunomys,Bunomys_chrysocomus,3.264004722,1.079348929,3.523,0.547,Breed 2000,117,2.068,Breed 2000,NA,NA,NA,NA,NA,,NA,
74,Rodentia,Muridae,Northeastern Peninsula Bunomys,Bunomys_fratrorum,0.336579419,1.209224263,0.407,NA,Breed 2000,137,NA,Breed 2000,NA,NA,NA,NA,NA,NA,NA,
75,Diprotodontia,Burramyidae,Mountain Pygmy Possum,Burramys_parvus,0.076016589,0.489366867,0.0372,-1.429,Birkhead 1998,39,1.591,Birkhead 1998,3.6,1,12,Capellini 2015,NA,,NA,NA
76,Primates,Pitheciidae,Bald Uacari,Cacajao_calvus,0.469475099,12.34208165,5.7943,0.763,Harcourt 1995,3451,3.538,Harcourt 1995,1.01,0.5,35.8,Capellini 2015,promiscuous,Harcourt 1995,no,Heldstab 2019
77,Primates,Cebidae,White-headed Marmoset,Callithrix_geoffroyi,0.217999483,2.520648184,0.5495,-0.26,Anderson 2004,380,2.58,Anderson 2004,2,2,17.6,Capellini 2015; Myrhvold 2015,monogamous; polygynous,Lukas 2013; Lukas 2012,NA,NA
78,Primates,Cebidae,Common Marmoset,Callithrix_jacchus,0.583669935,2.227286213,1.3,0.114,Hayward 2011; Gage 2003,320,2.505,Hayward 2011; Gage 2003,2.31,2,22.8,Capellini 2015,monogamous,Kenagy 1986; Lukas 2013; Lukas 2012; Lupold 2014,yes,LH19; Held19
79,Carnivora,Otariidae,Northern Fur Seal,Callorhinus_ursinus,1.112916325,57.14715347,63.6,1.803,Hayward 2011,29000,4.462,Hayward 2011,1.04,0.5,30,Capellini 2015,polygynous,Ferguson 2004,no,Heldstab 2019; Lukas 2019
80,Rodentia,Sciuridae,Golden-mantled Ground Squirrel,Callospermophilus_lateralis,2.148867361,1.512843491,3.2509,0.512,Hayward 2011,187,2.273,Hayward 2011,NA,NA,NA,NA,promiscuous,Kenagy 1986; Waterman 2007,NA,NA
81,Rodentia,Sciuridae,Cascade golden-mantled ground squirrel,Callospermophilus_saturatus,1.323077997,1.73942882,2.3014,0.362,Hayward 2011,227,2.356,Hayward 2011,NA,NA,NA,NA,NA,,NA,NA
82,Rodentia,Cricetidae,Drylands Laucha,Calomys_musculinus,0.436726588,0.452685972,0.1977,-0.704,Ramm 2005,35,1.549,Ramm 2005,6.27,NA,1.583333333,Capellini 2015; Myrhvold 2015,NA,,NA,NA
83,Artiodactyla,Camelidae,One-humped Camel,Camelus_dromedarius,0.195331397,622.6269927,121.6186,2.085,Anderson 2004,799834,5.903,Anderson 2004,0.98,1,40,Capellini 2015,polygynous,Anderson 2004; Nowak 1983,no,Heldstab 2019
84,Carnivora,Canidae,Golden Jackal,Canis_aureus,0.501107051,26.55021513,13.3045,1.124,Iossa 2008,10000,4,Iossa 2008,3.74,1,18.8,Capellini 2015,monogamous; polygynous,Iossa 2008; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,Heldstab 2019
85,Carnivora,Canidae,Coyote,Canis_latrans,0.556201881,27.6877884,15.4,1.188,Soulsbury 2010,10600,4.025,Soulsbury 2010,5.72,1,21.8,Capellini 2015,monogamous,Iossa 2008; Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,LH19; Held19
86,Carnivora,Canidae,Wolf,Canis_lupus,0.437933,62.45864097,27.3527,1.437,Iossa 2008,32810,4.516,Iossa 2008,4.98,2,29.5,Capellini 2015,monogamous; polygynous,Iossa 2008; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,Heldstab 2019; Lukas 2019
87,Artiodactyla,Bovidae,Markhor,Capra_falconeri,0.301530293,69.44940684,20.9411,1.321,Anderson 2004,38019,4.58,Anderson 2004,1.73,NA,19.1,Capellini 2015,promiscuous,Anderson 2004,NA,NA
88,Artiodactyla,Bovidae,Alpine Ibex,Capra_ibex,0.338792223,113.2573222,38.3707,1.584,Anderson 2004,74989,4.875,Anderson 2004,1.11,0.75,22.3,Capellini 2015,promiscuous,Anderson 2004,NA,NA
89,Artiodactyla,Cervidae,European Roe,Capreolus_capreolus,1.010838302,44.51750584,45,1.653,Hayward 2011; Soulsbury 2010,20500,4.31,Hayward 2011; Soulsbury 2010,1.79,1,17.5,Capellini 2015,polygynous,Soulsbury 2010; Kenagy 1986; Pantheria,no,Heldstab 2019; Lukas 2019
90,Artiodactyla,Bovidae,Japanese Serow,Capricornis_crispus,0.40276515,158.8357383,63.9735,1.806,Ginsberg 1990,119950,5.079,Ginsberg 1990,1,1,24,Capellini 2015,promiscuous,Ginsberg 1990; Lukas 2013,NA,NA
91,Chiroptera,Megadermatidae,Heart-nosed Bat,Cardioderma_cor,0.101173177,0.395361707,0.04,-1.398,Ramm 2007,29,1.462,Ramm 2007,1,2,NA,Capellini 2015,monogamous; polygynous,Hosken 2001; Pitnick 2006; Pantheria; Lukas 2013,NA,NA
92,Chiroptera,Phyllostomidae,Seba's Short-tailed Bat,Carollia_perspicillata,0.445703213,0.280455685,0.125,-0.903,Pitnick 2006,18,1.267,Pitnick 2006,1,2,17,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006; Pantheria,NA,NA
93,Rodentia,Castoridae,American Beaver,Castor_canadensis,0.220195509,42.23519373,9.3,0.968,Hayward 2011,19055,4.28,AWD,3.6,1,23.4,Capellini 2015,monogamous,Soulsbury 2010; Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012,yes,Heldstab 2019
94,Rodentia,Castoridae,Eurasian Beaver,Castor_fiber,0.426317227,40.8571338,17.4181,1.241,Hayward 2011,18197,4.26,Hayward 2011,2.95,1,35,Capellini 2015,monogamous; polygynous,Lukas 2013; Lukas 2012; Waterman 2007,NA,NA
95,Rodentia,Caviidae,Brazilian Guinea Pig,Cavia_aperea,1.10933058,3.362388153,3.73,0.572,Soulsbury 2010,567,2.754,Soulsbury 2010,2.14,5,6,Capellini 2015,polygynous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019; Sinervo 2020
96,Rodentia,Caviidae,Domesticated Guinea Pig,Cavia_porcellus,0.940698864,4.358461732,4.1,0.613,Hayward 2011; Gage 2003,813,2.91,Hayward 2011; Gage 2003,3.45,5,14.8,Capellini 2015,polygynous,Sinervo 2020,no,Lukas 2019
97,Primates,Cebidae,Pygmy Marmoset,Cebuella_pygmaea,0.283747981,1.16441357,0.3304,-0.481,Harcourt 1995,130,2.114,Harcourt 1995,1.93,1.56,18.6,Capellini 2015; Myrhvold 2015,monogamous,Pantheria; Lukas 2012; Lukas 2013,yes,Heldstab 2019
98,Chiroptera,Phyllostomidae,Wrinkle-faced Bat,Centurio_senex,0.239099078,0.334589329,0.08,-1.097,Pitnick 2006,23,1.36,Pitnick 2006,0.99,NA,NA,Capellini 2015,NA,,NA,NA
99,Artiodactyla,Bovidae,Yellow-backed Duiker,Cephalophus_silvicultor,0.289368433,114.9607081,33.266,1.522,Anderson 2004,76560,4.884,Anderson 2004,1,1,22.5,Capellini 2015,polygynous,Anderson 2004; Pantheria; Lukas 2012; Lukas 2013,no,Heldstab 2019
100,Diprotodontia,Burramyidae,Southwestern Pygmy Possum,Cercartetus_concinnus,0.264490708,0.234034687,0.0619,-1.208,Birkhead 1998,14,1.155,Birkhead 1998,4.6,1,8,Capellini 2015; Myrhvold 2015,NA,,NA,NA
101,Diprotodontia,Burramyidae,Eastern Pygmy Possum,Cercartetus_nanus,0.229775736,0.291588665,0.067,-1.174,Birkhead 1998,19,1.29,Birkhead 1998,3.96,2,10.3,Capellini 2015,NA,,NA,NA
