X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
537,Chiroptera,Pteropodidae,Little Red Flying Fox,Pteropus_scapulatus,5.3,0.423,Gage 2003,400,2.69,Gage 2003,1,NA,15.8,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
538,Chiroptera,Pteropodidae,Little Red Flying Fox,Pteropus_scapulatus,2.6485,0.423,Ramm 2007,490,2.69,Ramm 2007,1,NA,15.8,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
539,Chiroptera,Pteropodidae,Pacific Flying Fox,Pteropus_tonganus,3.8019,0.58,Hayward 2011,1026,3.011,Hayward 2011,1,NA,7.066666667,Capellini 2015; Myrhvold 2015,polygynous,Hosken 2001,NA,NA
540,Carnivora,Felidae,Cougar,Puma_concolor,14.8936,1.173,Soulsbury 2010,44978,4.653,Soulsbury 2010,2.76,0.75,23.8,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Ferguson 2004,no,Heldstab 2019; Lukas 2019
541,Carnivora,Phocidae,Ringed Seal,Pusa_hispida,47.5335,1.677,Fitzpatrick 2012,69024,4.839,Fitzpatrick 2012,1,0.8,46,Capellini 2015,polygynous,Smith 1981,no,Heldstab 2019
542,Primates,Cercopithecidae,Red-shanked Douc Langur,Pygathrix_nemaeus,8.3946,0.924,Anderson 2004,18578,4.269,Anderson 2004,1.01,1.005,26,Capellini 2015; Myrhvold 2015,promiscuous,Anderson 2004,no,Heldstab 2019; Lukas 2019
543,Artiodactyla,Cervidae,Reindeer,Rangifer_tarandus,132,1.678,Gage 2003,145000,5.043,Gage 2003,2,0.91,21.8,Capellini 2015,promiscuous,Soulsbury 2010,no,Heldstab 2019; Lukas 2019
544,Artiodactyla,Cervidae,Reindeer,Rangifer_tarandus,47.6,1.678,Anderson 2004; Soulsbury 2010,110500,5.043,Anderson 2004; Soulsbury 2010,2,0.91,21.8,Capellini 2015,promiscuous,Soulsbury 2010,no,Heldstab 2019; Lukas 2019
545,Rodentia,Muridae,Ricefield Rat,Rattus_argentiventer,3.051,0.484,Breed 2000,217,2.336,Breed 2000,9.85,4.29,4.2,Myrhvold 2015,promiscuous,Sinervo 2020,NA,NA
546,Rodentia,Muridae,Australian Dusky Rat,Rattus_colletti,1.938,0.287,Ramm 2007; Breed 2000,154,2.188,Ramm 2007; Breed 2000,5.995,4,1.5,Myrhvold 2015,NA,,NA,NA
547,Rodentia,Muridae,Pacific Rat,Rattus_exulans,1.249,0.415,Breed 2000,49,1.778,Breed 2000,3.7,3.9,1.125,Capellini 2015,promiscuous,Sinervo 2020,NA,NA
548,Rodentia,Muridae,Pacific Rat,Rattus_exulans,2.6,0.415,Hayward 2011; Gage 2003,60,1.778,Hayward 2011; Gage 2003,3.7,3.9,1.125,Capellini 2015,promiscuous,Sinervo 2020,NA,NA
549,Rodentia,Muridae,Australian Bush Rat,Rattus_fuscipes,4.262,0.63,Ramm 2007; Breed 2000,110,2.041,Ramm 2007; Breed 2000,4.58,3.3,5.3,Capellini 2015,promiscuous,Waterman 2007; Sinervo 2020,no,Heldstab 2019
550,Rodentia,Muridae,Hoffmann's rat,Rattus_hoffmanni,2.3605,0.373,Breed 2000,140,2.146,Breed 2000,NA,NA,NA,NA,NA,,NA,NA
551,Rodentia,Muridae,Cape York Rat,Rattus_leucopus,4.149,0.618,Breed 2000,170,2.23,Breed 2000,3.45,NA,NA,Capellini 2015,NA,,NA,NA
552,Rodentia,Muridae,Losea Rat,Rattus_losea,2.175,0.337,Breed 2000,110,2.041,Breed 2000,NA,NA,NA,Capellini 2015,NA,,NA,NA
553,Rodentia,Muridae,Australian Swamp Rat,Rattus_lutreolus,4.434,0.647,Ramm 2007; Breed 2000,163,2.212,Ramm 2007; Breed 2000,4.45,2.4,4.4,Capellini 2015,promiscuous,Waterman 2007; Sinervo 2020,no,Heldstab 2019
554,Rodentia,Muridae,Eastern New Guinea Mountain Rat,Rattus_niobe,1.893,0.277,Ramm 2007; Breed 2000,49,1.69,Ramm 2007; Breed 2000,2.15,NA,NA,Capellini 2015,NA,,NA,NA
555,Rodentia,Muridae,Brown Rat,Rattus_norvegicus,4,0.58,Gage 2003,500,2.748,Gage 2003,8.99,3.5,3.8,Capellini 2015,promiscuous,Anderson 2004; Sinervo 2020,no,Heldstab 2019; Lukas 2019
556,Rodentia,Muridae,Brown Rat,Rattus_norvegicus,3.8019,0.58,Anderson 2004,560,2.748,Anderson 2004,8.99,3.5,3.8,Capellini 2015,promiscuous,Anderson 2004; Sinervo 2020,no,Heldstab 2019; Lukas 2019
557,Rodentia,Muridae,Roof Rat,Rattus_rattus,3.467,0.857,Breed 2000,134,2.21,Breed 2000,5.88,3.75,4.2,Capellini 2015,NA,,no,Heldstab 2019
558,Rodentia,Muridae,Roof Rat,Rattus_rattus,7.2,0.857,Hayward 2011,169,2.21,Hayward 2011,5.88,3.75,4.2,Capellini 2015,NA,,no,Heldstab 2019
